"block","code","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","level","card","spec_required","desc"
"1","1360","True","","","","","","3","1:N","O","Lacres"
"1","1370","True","","","","","","3","1:N","O","Bicos"
"1","1390","","","","","","","2","1:N","","Controle de Produção de Usina"
"1","1391","True","","","","","","3","1:N","O","Produção diária da Usina"
"1","1400","","","","","","","2","1:N","","Valores Agregados"
"1","1500","","","","","","","2","1:N","","Saídas Interestaduais - Energia Elétrica"
"1","1510","","","","","","","3","1:N","","Itens"
"1","1601","","","","","","","2","1:N","","Operações com instrumentos de Pagamentos Eletrônicos"
"1","1700","","","","","","","2","1:N","","DOCUMENTOS FISCAIS UTILIZADOS"
"1","1710","","","","","","","3","1:N","","DOCUMENTOS FISCAIS CANCELADOS/INUTILIZADOS"
"1","1800","","","","","","","2","1:N","","DEMONSTRATIVO DE CRÉDITO DO ICMS SOBRE TRANSPORTE AÉREO"
"1","1900","","","","","","","2","1:N","","Indicador de Sub-apuração do ICMS"
"1","1910","True","","","","","","3","1:N","O","Período da Sub-apuração do ICMS"
"1","1920","True","","","","","","4","1:1","O","SUB-APURAÇÃO DO ICMS"
"1","1921","","","","","","","5","1:N","","Ajuste/Benefício/Incentivo"
"1","1922","","","","","","","6","1:N","","Informação Adicional da Sub-apuração do ICMS"
"1","1923","","","","","","","6","1:N","","Identificação dos Documentos Fiscais"
"1","1925","","","","","","","5","1:N","","Valores Declaratórios"
"1","1926","","","","","","","5","1:N","","Obrigações do ICMS a recolher"
"1","1960","","","","","","","2","1:N","","GIAF 1 - Guia de Informação e Apuração de Incentivos Fiscais e Financeiros: Indústria (Crédito Presumido)"
"1","1970","","","","","","","2","1:N","","Guia De Informação e Apuração de Incentivos Fiscais e Financeiros: Importação (Diferimento na Entrada e Crédito Presumido na Saída Subsequente)"
"1","1975","True","","","","","","3","1:N","O","Guia de Informação e Apuração de Incentivos Fiscais e Financeiros: Importação (Saídas Internas por Faixa de Alíquota)"
"1","1980","","","","","","","2","1:1","","Guia de Informação e Apuração de Incentivos Fiscais e Financeiros: Central de Distribuição (Entradas/Saídas)"
"1","1990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO 1"
"9","9001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO 9"
"9","9900","True","","","","","","2","1:N","O","REGISTROS DO ARQUIVO"
"9","9990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO 9"
"9","9999","True","","","","","","0","1:1","O","ENCERRAMENTO DO ARQUIVO DIGITAL"
