"register","index","code","type","required","length","xsd_type","decimal","spec_type","spec_required","desc"
"C175","6","VL_BC_PIS","float","","","","2","N","","Valor da base de cálculo do PIS/Pasep (em valor)"
"C175","7","ALIQ_PIS","float","","008","","4","N","","Alíquota do PIS/Pasep (em percentual)"
"C175","8","QUANT_BC_PIS","float","","","","3","N","","Base de cálculo PIS/Pasep (em quantidade)"
"C175","9","ALIQ_PIS_QUANT","float","","","","4","N","","Alíquota do PIS/Pasep (em Reais)"
"C175","10","VL_PIS","float","","","","2","N","","Valor do PIS/Pasep"
"C175","11","CST_COFINS","char","True","002*","numeric_code","","N","O","Código da Situação Tributária referente a COFINS conforme a Tabela indicada no item 4.3.4."
"C175","12","VL_BC_COFINS","float","","","","2","N","","Valor da base de cálculo da COFINS"
"C175","13","ALIQ_COFINS","float","","008","","4","N","","Alíquota da COFINS (em percentual)"
"C175","14","QUANT_BC_COFINS","float","","","","3","N","","Base de cálculo COFINS (em quantidade)"
"C175","15","ALIQ_COFINS_QUANT","float","","","","4","N","","Alíquota da COFINS (em reais)"
"C175","16","VL_COFINS","float","","","","2","N","","Valor da COFINS"
"C175","17","COD_CTA","char","","255","","","C","","Código da conta analítica contábil debitada/creditada"
"C175","18","INFO_COMPL","char","","","","","C","","Informação complementar"
"C180","2","COD_MOD","char","True","002*","","","C","O","Texto fixo contendo “55” - Código da Nota Fiscal Eletrônica, modelo 55"
"C180","3","DT_DOC_INI","date","True","008*","","","D","O","Data de Emissão Inicial dos Documentos"
"C180","4","DT_DOC_FIN","date","True","008*","","","D","O","Data de Emissão Final dos Documentos"
"C180","5","COD_ITEM","char","True","060","","","C","O","Código do item (campo 02 do Registro 0200)"
"C180","6","COD_NCM","char","","008","","","C","","Código da Nomenclatura Comum do Mercosul"
"C180","7","EX_IPI","char","","003","","","C","","Código EX, conforme a TIPI"
"C180","8","VL_TOT_ITEM","float","True","","","2","N","O","Valor Total do Item"
"C181","2","CST_PIS","char","True","002*","numeric_code","","N","O","Código da Situação Tributária referente ao PIS/Pasep"
"C181","3","CFOP","char","True","004*","numeric_code","","N","O","Código fiscal de operação e prestação"
"C181","4","VL_ITEM","float","True","","","2","N","O","Valor total do item"
"C181","5","VL_DESC","float","","","","2","N","","Valor do desconto comercial / Exclusão"
"C181","6","VL_BC_PIS","float","","","","2","N","","Valor da base de cálculo do PIS/Pasep"
