"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"C170","pva","1","REG","Texto fixo contendo “C170”","C","004","","OC"
"C170","pva","2","NUM_ITEM","Número seqüencial do item no documento fiscal","N","003","","O"
"C170","pva","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C170","pva","4","DESCR_COMPL","Descrição complementar do item como adotado no documento fiscal","C","","",""
"C170","pva","5","QTD","Quantidade do item","N","","5",""
"C170","pva","6","UNID","Unidade do item (Campo 02 do registro 0190)","C","006","",""
"C170","pva","7","VL_ITEM","Valor total do item (mercadorias ou serviços)","N","","2","O"
"C170","pva","8","VL_DESC","Valor do desconto comercial","N","","2",""
"C170","pva","9","IND_MOV","Movimentação física do ITEM/PRODUTO","C","001","",""
"C170","pva","10","CST_ICMS","Código da Situação Tributária referente ao ICMS, conforme a Tabela indicada no item 4.3.1","N","003*","",""
"C170","pva","11","CFOP","Código Fiscal de Operação e Prestação","N","004*","","O"
"C170","pva","12","COD_NAT","Código da natureza da operação (campo 02 do Registro 0400)","C","010","",""
"C170","pva","13","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2",""
"C170","pva","14","ALIQ_ICMS","Alíquota do ICMS","N","006","2",""
"C170","pva","15","VL_ICMS","Valor do ICMS creditado/debitado","N","","2",""
"C170","pva","16","VL_BC_ICMS_ST","Valor da base de cálculo referente à substituição tributária","N","","2",""
"C170","pva","17","ALIQ_ST","Alíquota do ICMS da substituição tributária na unidade da federação de destino","N","006","2",""
"C170","pva","18","VL_ICMS_ST","Valor do ICMS referente à substituição tributária","N","","2",""
"C170","pva","19","IND_APUR","Indicador de período de apuração do IPI","C","001*","",""
"C170","pva","20","CST_IPI","Código da Situação Tributária referente ao IPI, conforme a Tabela indicada no item 4.3.2.","C","002*","",""
"C170","pva","21","COD_ENQ","Código de enquadramento legal do IPI, conforme tabela indicada no item 4.5.3.","C","003*","",""
"C170","pva","22","VL_BC_IPI","Valor da base de cálculo do IPI","N","","2",""
"C170","pva","23","ALIQ_IPI","Alíquota do IPI","N","006","2",""
"C170","pva","24","VL_IPI","Valor do IPI creditado/debitado","N","","2",""
"C170","pva","25","CST_PIS","Código da Situação Tributária referente ao PIS","N","002*","","O"
"C170","pva","26","VL_BC_PIS","Valor da base de cálculo do PIS","N","","2",""
"C170","pva","27","ALIQ_PIS","Alíquota do PIS (em percentual)","N","008","4",""
"C170","pva","28","QUANT_BC_PIS","Base de cálculo em quantidade PIS/Pasep","N","","3",""
"C170","pva","29","ALIQ_PIS_QUANT","Alíquota do PIS (em reais)","N","","4",""
"C170","pva","30","VL_PIS","Valor do PIS","N","","2",""
"C170","pva","31","CST_COFINS","Código da Situação Tributária referente ao COFINS","N","002*","",""
"C170","pva","32","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C170","pva","33","ALIQ_COFINS","Alíquota do COFINS (em percentual)","N","008","4",""
"C170","pva","34","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"C170","pva","35","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C170","pva","36","VL_COFINS","Valor da COFINS","N","","2",""
"C170","pva","37","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C175","pva","1","REG","Texto fixo contendo “C175”","C","004*","","OC"
"C175","pva","2","CFOP","Código fiscal de operação e prestação","N","004*","","O"
